project;class;method;merge commit;Confluence Intra;Confluence Inter;OA Inter;left right DFP-Intra;right left DFP-Intra;left right DFP-Inter;right left DFP-Inter;left right CD;right left CD;left right CDe;right left CDe;left right PDG;right left PDG;left right PDG-e;right left PDG-e;Time
antlr4;org.antlr.v4.codegen.target.Python2Target;python2Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;46.71300
antlr4;org.antlr.v4.codegen.target.Python3Target;python3Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;47.72000
druid;com.metamx.druid.loading.S3SegmentPusher;push(File, DataSegment);05168808c278c080c59c19e858d9471b316cd1f5;false;false;false;false;false;false;false;false;false;true;true;false;true;true;true;1027.10000
netty;org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder;decode(ChannelHandlerContext, Channel, ChannelBuffer);193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;55.70100
OpenTripPlanner;org.opentripplanner.routing.spt.MultiShortestPathTree;dominates(State, State);4c506dce43775704919d084f0acfba86d251bf4a;false;false;false;false;false;false;false;true;false;true;false;true;false;true;false;61.72200
webbit;org.webbitserver.netty.WebSocketClient;adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);74d2d2b87704d003acacb34e4ca8fb5f897b938f;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;47.14200
resty-gwt;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);867b917c43c32acbdcac55767e7f04334006c866;false;false;false;false;false;false;false;false;true;false;true;false;true;false;true;43.94100
storm;org.apache.storm.kafka.spout.KafkaSpout;open(Map, TopologyContext, SpoutOutputCollector);ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;43.26100
storm;org.apache.storm.kafka.spout.KafkaSpoutConfig;KafkaSpoutConfig(Builder<K,V>);ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;41.44700
storm;org.apache.storm.kafka.spout.KafkaSpoutConfig;toString();ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;42.88000
storm;org.apache.storm.kafka.spout.KafkaSpout;emitTupleIfNotEmitted(ConsumerRecord<K,V>);bd1f5c54752f67b484a83c26667331234234d3a3;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;47.37300
swagger-maven-plugin;com.github.kongchen.swagger.docgen.reader.AbstractReader;hasValidAnnotations(List<Annotation>);e825a7fdc6ef688f1253b93d2cb236e710acfc56;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;45.13600
jsoup;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);a8b6982de98ff76ef254031d7152fff57f6bf941;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;74.70600
jsoup;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);fee4762322f85a1109edd75ccb67f38cf5008c80;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;49.99000
jsoup;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false;false;false;false;false;false;false;false;true;false;true;false;true;false;true;65.01000
jsoup;org.jsoup.nodes.TextNode;outerHtmlHead(StringBuilder, int, Document.OutputSettings);a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false;false;false;true;true;true;true;false;true;false;true;false;true;false;true;50.26700
retrofit;retrofit.RestAdapter;logAndReplaceResponse(String, Response, long);2b6c719c6645f8e48dca6d0047c752069d321bc4;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;50.63100
retrofit;retrofit.RestAdapter;logAndReplaceRequest(Request);2b6c719c6645f8e48dca6d0047c752069d321bc4;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;50.18600
retrofit;retrofit.RequestBuilder;build();71f622ce51031b152a0be6ad5facfb27a654bf5a;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;48.29400
activiti;org.activiti.engine.impl.persistence.entity.DeploymentEntityManager;deleteDeployment(String, boolean);50d8e43eb5917c63abfbcdec1e68e510943f325a;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;74.27800
activiti;org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior;execute(ActivityExecution);bf46684ba62f5883673ea8fb0a14aecfe0aedea2;false;true;true;true;true;true;true;false;true;false;true;false;true;false;true;89.00000
okhttp;com.squareup.okhttp.internal.bytes.GzipSource;consumeHeader(Deadline);1151c9853ccc3c9c3211c613b9b845b925f8c6a6;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;65.91000
okhttp;com.squareup.okhttp.OkHttpClient;copyWithDefaults();35166168529bd27281685e56a0a122eff44460e9;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;42.94200
HikariCP;com.zaxxer.hikari.HikariConfig;validate();1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;48.70000
HikariCP;com.zaxxer.hikari.HikariPool;addConnection();1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;false;true;false;true;false;false;true;true;true;true;true;true;true;52.43800
pushy;com.relayrides.pushy.apns.PushManager;handleConnectionFailure(ApnsConnection<T>, Throwable);58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;46.18700
pushy;com.relayrides.pushy.apns.PushManager;handleConnectionClosure(ApnsConnection<T>);58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;46.98900
java-faker;com.github.javafaker.Faker;Faker(Locale, Random);ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;47.56100
swagger-core;io.swagger.jaxrs2.OperationParser;getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema);e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;51.51100
cucumber-jvm;cuke4duke.internal.java.JavaLanguage;load(String);4505c156b6267c1b760deec570ddbfe047b42aa9;false;false;false;true;false;true;false;false;false;false;false;true;false;true;false;44.72200
dropwizard;io.dropwizard.setup.Bootstrap;Bootstrap(Application<T>);ddd15a681bf42360337844412cae4aba1556eb88;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;512.16700
jenkins;jenkins.slaves.DefaultJnlpSlaveReceiver;handle(String, JnlpSlaveHandshake);48b2b951dfb3438999ceda330093cac82b857ce6;false;true;true;false;false;false;false;false;true;false;true;false;true;false;true;105.65500
logback;ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase;start();542843fd04a793fb9e0eea0c84d199e66d7c15af;false;true;false;false;true;false;true;false;false;false;false;false;true;false;true;50.41200
orientdb;com.orientechnologies.orient.core.Orient;startup();a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;90.40800
SimianArmy;com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext;getInstanceJanitor();345ad9513aafff397050d613fa87ad06ddffe99d;false;true;false;true;true;true;true;false;false;false;false;false;false;false;false;51.63300
SimianArmy;com.netflix.simianarmy.basic.BasicSimianArmyContext;BasicSimianArmyContext(String);c39c19bc6b9231601f6bc7358e638a99adf37e0d;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;61.63900
alluxio;tachyon.hadoop.HdfsFileInputStream;HdfsFileInputStream(TachyonFS, int, Path, Configuration, int);dafe76c90024a915224264b4862b33f40cb8478c;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;552.16500
voldemort;voldemort.VoldemortClientShell;VoldemortClientShell(ClientConfig, String, BufferedReader, PrintStream, PrintStream);b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;false;true;true;false;false;false;true;false;false;false;true;false;false;false;true;526.86300
voldemort;voldemort.server.VoldemortConfig;VoldemortConfig(Props);4cc1c145819030c8e2baffe4c92383de14b8d880;false;true;false;true;true;true;true;false;false;false;false;false;false;false;false;106.40800
libgdx;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;newWindow(ApplicationListener, Lwjgl3WindowConfiguration);da27e2dae56be0a159e82231e5c3a5b83b099063;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;48.80500
libgdx;com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration;copy(Lwjgl3ApplicationConfiguration);da27e2dae56be0a159e82231e5c3a5b83b099063;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;43.76400
RxJava;rx.internal.operators.OperatorMulticast;connect(Action1<?superSubscription>);a40a4130edcdadc2340da5787ca30353018173f2;false;false;true;true;true;true;true;false;false;false;true;false;false;false;true;53.31700
RxJava;rx.concurrency.TestScheduler;triggerActions(long);1c47b0cb26e6d971eefa42ebb3479099236b0125;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;45.10800
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);3d4f99516ba3177f7d88a1f600923138a8b77cc8;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;92.14300
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.Slurper;assignCollections();3d4f99516ba3177f7d88a1f600923138a8b77cc8;false;error;false;true;true;true;true;false;false;false;false;false;false;false;false;54.90000
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);6b6ce8e851c6613213c4508c3f277a80649e0c7b;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;89.55300
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.Indexer;applyAdvancedTransformation(QueueEntry, String);6b6ce8e851c6613213c4508c3f277a80649e0c7b;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;61.12500
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.Indexer;processBlockingQueue(QueueEntry);6b6ce8e851c6613213c4508c3f277a80649e0c7b;true;true;false;false;true;false;true;false;false;false;false;true;true;true;true;69.72500
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.Slurper;run();6b6ce8e851c6613213c4508c3f277a80649e0c7b;false;false;false;false;false;false;false;false;false;false;true;false;false;true;true;102.91500
elasticsearch-river-mongodb;org.elasticsearch.river.mongodb.Slurper;addToStream(Operation, Timestamp<?>, DBObject, String);6b6ce8e851c6613213c4508c3f277a80649e0c7b;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;51.22400
hector;me.prettyprint.cassandra.connection.client.HSaslThriftClient;open();0588608e7a2bdf974c985ff546207104f672bf6c;false;false;true;false;false;false;false;false;false;false;true;false;false;false;true;54.24400
hector;me.prettyprint.cassandra.connection.client.HKerberosThriftClient;open();a33a46506656a39d1b0f7780973905665d3b6145;false;false;false;true;false;true;false;false;false;true;false;true;false;true;false;51.89500
hector;me.prettyprint.cassandra.connection.client.HThriftClient;open();a33a46506656a39d1b0f7780973905665d3b6145;false;false;false;true;false;true;false;false;false;true;false;true;false;true;false;51.67800
hector;me.prettyprint.cassandra.connection.HConnectionManager;operateWithFailover(Operation<?>);213f7887ea70eabdf0705cf8454de29af89e8c38;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;57.88100
titan;com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization;initialize(Serializer);387c16ea05ef9fa312f37139228d2bbf61455ff4;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;49.04800
titan;com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx;StandardTitanTx(StandardTitanGraph, TransactionConfiguration, BackendTransaction);04edd7f0e7eab2e8255a497922e34dc707d84c19;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;56.31000
MPAndroidChart;com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment;generateScatterData(int, float, int);af114d180da6ec5633d32c701ff5467f7629fcf3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;43.59400
MPAndroidChart;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onProgressChanged(SeekBar, int, boolean);af114d180da6ec5633d32c701ff5467f7629fcf3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;47.51500
MPAndroidChart;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onCreate(Bundle);af114d180da6ec5633d32c701ff5467f7629fcf3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;45.33700
MPAndroidChart;com.xxmassdeveloper.mpchartexample.LineChartActivity2;onCreate(Bundle);9297923f09460d0484cd713b0abbeaea9b888ec0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;45.50900
MPAndroidChart;com.xxmassdeveloper.mpchartexample.RadarChartActivitry;onCreate(Bundle);9297923f09460d0484cd713b0abbeaea9b888ec0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;44.28500
MPAndroidChart;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative;onCreate(Bundle);9297923f09460d0484cd713b0abbeaea9b888ec0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;42.71300
MPAndroidChart;com.xxmassdeveloper.mpchartexample.LineChartActivity1;onCreate(Bundle);9297923f09460d0484cd713b0abbeaea9b888ec0;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;42.25000
MPAndroidChart;com.github.mikephil.charting.renderer.LineChartRenderer;drawData(Canvas);9531ba69895cd64fce48038ffd8df2543eeea1d2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0.01700
MPAndroidChart;com.github.mikephil.charting.renderer.PieChartRenderer;drawData(Canvas);9531ba69895cd64fce48038ffd8df2543eeea1d2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;42.33900
elasticsearch;org.elasticsearch.common.settings.IndexScopedSettings;BUILT_IN_INDEX_SETTINGS;d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;114.47700
elasticsearch;org.elasticsearch.action.index.TransportIndexAction;executeIndexRequestOnPrimary(IndexRequest, IndexShard, MappingUpdatedAction);d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;131.25600
elasticsearch;org.elasticsearch.action.support.replication.ReplicationOperationTests;testReplication();d896886973660785aac45275ddb110c1a6babc57;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;88.93300
elasticsearch;org.elasticsearch.index.IndexSettings;IndexSettings(IndexMetaData, Settings, Predicate<String>, IndexScopedSettings);d896886973660785aac45275ddb110c1a6babc57;false;true;false;true;true;true;true;false;false;false;false;false;false;false;false;191.79600
elasticsearch;org.elasticsearch.action.bulk.TransportShardBulkAction;update(IndexMetaData, BulkShardRequest, IndexShard, long[], VersionType[], Translog.Location, int, BulkItemRequest);d896886973660785aac45275ddb110c1a6babc57;false;true;false;true;false;true;false;false;false;false;false;true;false;true;false;247.34600
elasticsearch;org.elasticsearch.action.support.replication.TransportReplicationAction;doRun();d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;false;false;false;false;true;true;false;false;true;true;137.36800
elasticsearch;org.elasticsearch.action.support.replication.ReplicationOperation;execute();d896886973660785aac45275ddb110c1a6babc57;error;error;true;true;true;true;true;false;false;false;false;true;true;true;true;142.24600
elasticsearch;org.elasticsearch.index.engine.InternalEngineTests;testRecoverFromForeignTranslog();d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;93.41200
elasticsearch;org.elasticsearch.index.engine.InternalEngine;InternalEngine(EngineConfig);d896886973660785aac45275ddb110c1a6babc57;false;true;false;false;false;true;false;false;false;false;true;false;false;false;true;235.30500
elasticsearch;org.elasticsearch.action.DocWriteResponse;writeTo(StreamOutput);d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;268.38800
elasticsearch;org.elasticsearch.action.DocWriteResponse;readFrom(StreamInput);d896886973660785aac45275ddb110c1a6babc57;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;271.41600
elasticsearch;org.elasticsearch.action.DocWriteResponse;toXContent(XContentBuilder, Params);d896886973660785aac45275ddb110c1a6babc57;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;266.24800
elasticsearch;org.elasticsearch.cluster.metadata.MetaDataCreateIndexService;createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);d896886973660785aac45275ddb110c1a6babc57;error;true;false;false;false;false;false;false;false;true;false;false;false;true;true;4157.80700
elasticsearch;org.elasticsearch.action.update.TransportUpdateAction;shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);d896886973660785aac45275ddb110c1a6babc57;true;true;true;true;true;true;true;false;false;false;false;false;true;false;true;198.50400
elasticsearch;org.elasticsearch.action.delete.TransportDeleteAction;executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);d896886973660785aac45275ddb110c1a6babc57;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;120.64000
elasticsearch;org.elasticsearch.rest.action.cat.RestNodesAction;getTableWithHeader(RestRequest);3764b3ff800c94293aba0bb0fa18c7df80a764f7;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;127.20300
elasticsearch;org.elasticsearch.rest.action.cat.RestIndicesAction;getTableWithHeader(RestRequest);3764b3ff800c94293aba0bb0fa18c7df80a764f7;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;135.10600
elasticsearch;org.elasticsearch.rest.action.cat.RestShardsAction;getTableWithHeader(RestRequest);3764b3ff800c94293aba0bb0fa18c7df80a764f7;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;127.43400
elasticsearch;org.elasticsearch.common.settings.ClusterSettings;BUILT_IN_CLUSTER_SETTINGS;0404db65e3497452886173957729c8e82cfd4a03;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;114.87900
elasticsearch;org.elasticsearch.test.ESSingleNodeTestCase;newNode();0404db65e3497452886173957729c8e82cfd4a03;true;true;false;false;true;false;true;false;false;false;false;false;true;false;true;51.50600
elasticsearch;org.elasticsearch.index.query.support.NestedInnerQueryParseSupport;setPathLevel();59cb67c7bd0ab6311115b20954e013412b676b29;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;119.88400
elasticsearch;org.elasticsearch.index.query.MultiMatchQueryBuilder;doXContent(XContentBuilder, Params);59cb67c7bd0ab6311115b20954e013412b676b29;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;123.73300
elasticsearch;org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;testSynonymsAnalysis();f3d63095dbcc985e24162fbac4ee0d6914dc757d;false;true;false;true;false;true;false;false;false;false;false;true;false;true;false;70.21700
elasticsearch;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis();f3d63095dbcc985e24162fbac4ee0d6914dc757d;true;true;true;true;false;true;false;false;false;false;false;true;false;true;false;80.47700
elasticsearch;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testCommonGramsAnalysis();f3d63095dbcc985e24162fbac4ee0d6914dc757d;true;true;true;true;false;true;false;false;false;false;false;true;false;true;false;76.98600
elasticsearch;org.elasticsearch.index.analysis.KuromojiAnalysisTests;createAnalysisService();f3d63095dbcc985e24162fbac4ee0d6914dc757d;true;true;false;false;true;false;true;false;false;false;false;false;true;false;true;45.84700
elasticsearch;org.elasticsearch.index.query.SimpleIndexQueryParserTests;setup();36884807b3cc9d660db4da062275c7fdbec8ba67;false;true;false;true;false;true;false;false;false;false;false;true;false;true;false;80.79400
fitnesse;fitnesse.testsystems.slim.tables.SlimTableFactoryTest;setUp();4d9ba9d221d879507440feb084fa7521b95111ec;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;46.55500
fitnesse;fitnesse.testsystems.slim.tables.SlimTableFactory;SlimTableFactory();4d9ba9d221d879507440feb084fa7521b95111ec;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;63.19000
cloud-slang;io.cloudslang.lang.api.SlangImpl;getAllEventTypes();20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;70.75300
cloud-slang;io.cloudslang.lang.api.SlangImplTest;ALL_EVENTS_SIZE;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;66.58700
spring-boot;org.springframework.boot.jta.atomikos.AtomikosProperties;asProperties();6664ce19d6f2388ebd6cf54763f54fdddd226b9a;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.02600
spring-boot;org.springframework.boot.jta.atomikos.AtomikosPropertiesTests;testProperties();6664ce19d6f2388ebd6cf54763f54fdddd226b9a;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00400
spring-boot;org.springframework.boot.jta.atomikos.AtomikosPropertiesTests;testDefaultProperties();6664ce19d6f2388ebd6cf54763f54fdddd226b9a;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00500
spring-boot;org.springframework.boot.autoconfigure.mongo.MongoProperties;builder(MongoClientOptions);958a0a45f164601d01cb706c19f22ed3e25eff56;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;96.55200
spring-boot;org.springframework.boot.loader.archive.ExplodedArchiveTests;getUrl();af20dc6cc45c032573413c401f9f73aa75371744;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0.02900
spring-boot;org.springframework.boot.loader.archive.ExplodedArchive;getUrl();af20dc6cc45c032573413c401f9f73aa75371744;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0.00800
spring-boot;org.springframework.boot.autoconfigure.cache.RedisCacheConfiguration;cacheManager(RedisTemplate<Object,Object>);c93ea54ea3e08eaa2a17640d5d2b3e60264c1a9c;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.01600
spring-boot;org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory;createDeploymentManager(ServletContextInitializer);ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;105.95300
spring-boot;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);3444ebbc05b99a164474c14d6a6784f749514428;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;101.18000
spring-boot;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);074771ec125dd407af0282b92960e9e9e3377e84;false;false;false;false;true;false;true;false;false;false;false;false;true;false;true;103.14100
spring-boot;org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport(boolean);fdd3f12ee0f92ac18844c08bf71df39feebb6673;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;88.26600
spring-boot;org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory;customizeConnector(Connector);2d4e68a9777601bfb8309c94d8b74bc21be80ad1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;92.20200
quickml;quickdt.experiments.OutOfTimeCrossValidatorRunner;getRandomForestBuilder(int, int);bae968d9a85c0501ba8842a6f88e7fc2c6b78693;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;70.99300
vavr;javaslang.collection.HashSet;of(T);204635d9156b498079c2f34b821dca7ca1711ef6;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00200
vavr;javaslang.collection.LinkedHashSet;of(T);204635d9156b498079c2f34b821dca7ca1711ef6;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00100
vavr;javaslang.collection.CharSeq;of(char);204635d9156b498079c2f34b821dca7ca1711ef6;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00100
vavr;javaslang.collection.Iterator;of(T);204635d9156b498079c2f34b821dca7ca1711ef6;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;not-found;0.00100
crawler4j;edu.uci.ics.crawler4j.parser.Parser;parse(Page, String);6fdb8f27b53c5d69b552341a459d0e1fa610f68d;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0.00400
