project;merge commit;class;method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right;LOI;Original Sample;result
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3ApplicationConfiguration;copy; N1_OBJECT_SENSITIVE; No; Yes;26;57;2301;15862;91636;78643; Yes; No; No;0;0;0; []; [96, 97, 98, 99]; [107];No;DeSouza;TRUE NEGATIVE
RxJava;a40a4130edcdadc2340da5787ca30353018173f2;OperatorMulticast;connect; N1_OBJECT_SENSITIVE; No; Yes;2356;4124;284401;21067647;602840;157290; Yes; No; No;0;0;0; []; [94]; [128, 129, 131, 117, 118, 119, 120, 121, 122, 124, 125];No;Roberto;TRUE NEGATIVE
RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;TestScheduler;triggerActions; N1_OBJECT_SENSITIVE; No; Yes;38;40;792;3932;88886;83886; Yes; No; No;0;0;0; []; [100]; [96, 97, 95];No;DeSouza;TRUE NEGATIVE
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;MongoDBRiverDefinition;parseSettings;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;Slurper;assignCollections; N1_OBJECT_SENSITIVE; No; Yes;12623;77303;4097106;944706890;195922580;606509; Yes; Yes; Yes;239;239;7; [boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 322)]; [288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287]; [315, 331, 302];Yes;Roberto;TRUE POSITIVE
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;MongoDBRiverDefinition;parseSettings;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer;applyAdvancedTransformation;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer;processBlockingQueue;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper;run;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper;addToStream; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [752, 747, 748, 751]; [736, 737, 738, 739, 740, 741, 742, 743];Yes;Roberto;-
hector;0588608e7a2bdf974c985ff546207104f672bf6c;HSaslThriftClient;open; N1_OBJECT_SENSITIVE; No; Yes;2551;5103;712873;84906547;20662537;249348; Yes; No; No;0;0;0; []; [96, 97, 94, 111, 95]; [122];No;Roberto;TRUE NEGATIVE
hector;a33a46506656a39d1b0f7780973905665d3b6145;HKerberosThriftClient;open; N1_OBJECT_SENSITIVE; No; Yes;370;719;40873;1192798;373994;136314; Yes; No; Yes;10;10;2; [me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 71) -> me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 88), me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 73) -> me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 88)]; [88]; [69, 70, 71, 72, 73, 74, 75, 76];No;Roberto;FALSE POSITIVE
hector;a33a46506656a39d1b0f7780973905665d3b6145;HThriftClient;open; N1_OBJECT_SENSITIVE; No; Yes;2552;5329;814037;103786347;17702926;162816; Yes; Yes; Yes;42;22;3; [me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 149) -> me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 164), me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 151) -> me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 164), me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 164) -> me.prettyprint.cassandra.connection.client.HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open() (line 169)]; [164]; [147, 148, 149, 150, 151, 152, 169, 153, 154];No;Roberto;FALSE POSITIVE
hector;213f7887ea70eabdf0705cf8454de29af89e8c38;HConnectionManager;operateWithFailover; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [267, 268]; [200];No;Roberto;-
titan;387c16ea05ef9fa312f37139228d2bbf61455ff4;SerializerInitialization;initialize; N1_OBJECT_SENSITIVE; No; Yes;7504;48442;2061614;293568042;62096918;221250; Yes; No; Yes;27104;16;4; [void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 31) -> void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 52), void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 31) -> void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 53), void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 31) -> void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 54), void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 31) -> void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer) (line 55)]; [52, 53, 54, 55, 57]; [31];No;Roberto;FALSE POSITIVE
titan;04edd7f0e7eab2e8255a497922e34dc707d84c19;StandardTitanTx;StandardTitanTx; N1_OBJECT_SENSITIVE; No; Yes;7126;39078;1719850;440208439;110039556;268158; Yes; No; No;0;0;0; []; [182, 183]; [197, 198, 199];No;Roberto;TRUE NEGATIVE
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;SimpleFragment;generateScatterData; N1_OBJECT_SENSITIVE; No; Yes;455;664;28249;454618;94520;83886; Yes; No; No;0;0;0; []; [80, 91]; [73];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;ScatterChartActivity;onProgressChanged; N1_OBJECT_SENSITIVE; No; Yes;737;1159;44619;1048132;102778;83886; Yes; No; No;0;0;0; []; [178, 168, 188, 204, 173, 205]; [183, 186, 191];No;Mining;TRUE NEGATIVE
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;ScatterChartActivity;onCreate; N1_OBJECT_SENSITIVE; No; Yes;737;1159;44619;1048132;102778;83886; No; -; -; -; -; -; -; [80, 86, 77, 63]; [57];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;LineChartActivity2;onCreate; N1_OBJECT_SENSITIVE; No; Yes;3368;6084;506702;43272556;3213311;133163; Yes; No; No;0;0;0; []; [126]; [117];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;RadarChartActivitry;onCreate; N1_OBJECT_SENSITIVE; No; Yes;3389;6233;535214;46639662;3425110;170260; Yes; No; No;0;0;0; []; [59, 60, 61, 62]; [72];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;StackedBarActivityNegative;onCreate; N1_OBJECT_SENSITIVE; No; Yes;3371;5994;518359;43054456;2935970;117416; No; -; -; -; -; -; -; [64, 65]; [];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;LineChartActivity1;onCreate; N1_OBJECT_SENSITIVE; No; Yes;3423;6152;547451;55967016;3404508;168749; No; -; -; -; -; -; -; [135]; [];No;DeSouza;TRUE NEGATIVE
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;LineChartRenderer;drawData; N1_OBJECT_SENSITIVE; No; Yes;60;75;3083;15462;91999;83886; No; -; -; -; -; -; -; []; [];Yes;DeSouza;FALSE NEGATIVE
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;PieChartRenderer;drawData; N1_OBJECT_SENSITIVE; No; Yes;13;12;662;3399;88851;83886; No; -; -; -; -; -; -; []; [94];Yes;DeSouza;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportIndexAction;executeIndexRequestOnPrimary; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [196]; [201];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperationTests;testReplication; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [106, 108, 125, 126]; [116, 103];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;IndexSettings;IndexSettings; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [238]; [246, 269];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportShardBulkAction;update; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [268, 255]; [244, 249, 266, 254];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportReplicationAction;doRun; N1_OBJECT_SENSITIVE; No; Yes;8;7;184;838;85730;78643; No; -; -; -; -; -; -; [455, 458, 460]; [457, 459];Yes;Mining;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperation;execute; N1_OBJECT_SENSITIVE; No; Yes;466;786;35777;672834;115644;78643; Yes; Yes; No;24;12;3; [void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 99), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 113), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 119)]; [98, 109]; [113, 98, 99, 101, 119, 108, 110];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngineTests;testRecoverFromForeignTranslog; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [2091]; [2124];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngine;InternalEngine; N1_OBJECT_SENSITIVE; No; Yes;18132;125573;4853702;658191833;90562435;550995; No; -; -; -; -; -; -; [134]; [161, 162, 163, 164];No;Mining;TRUE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;writeTo; N1_OBJECT_SENSITIVE; No; Yes;1070;1777;67253;841474;104780;83886; No; -; -; -; -; -; -; [140]; [141];Yes;Mining;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;readFrom; N1_OBJECT_SENSITIVE; No; Yes;1070;1777;67253;841474;104780;83886; No; -; -; -; -; -; -; [129]; [130];No;DeSouza;TRUE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;toXContent; N1_OBJECT_SENSITIVE; No; Yes;1070;1777;67253;841474;104780;83886; No; -; -; -; -; -; -; [163, 164, 165, 166]; [160];Yes;DeSouza;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;MetaDataCreateIndexService;createIndex; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [315]; [304, 305, 309, 310, 312, 346, 300];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportUpdateAction;shardOperation; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [224, 185, 254]; [192, 249, 250];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportDeleteAction;executeDeleteRequestOnPrimary; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [136]; [140];No;Mining;-
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestNodesAction;getTableWithHeader; N1_OBJECT_SENSITIVE; No; Yes;6530;32869;878363;91533820;5810294;212300; No; -; -; -; -; -; -; []; [153, 154, 156, 157, 158, 159];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestIndicesAction;getTableWithHeader; N1_OBJECT_SENSITIVE; No; Yes;7113;36420;938318;100220256;7253081;135821; No; -; -; -; -; -; -; []; [144, 147, 150, 153, 138, 141];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction;getTableWithHeader; N1_OBJECT_SENSITIVE; No; Yes;6376;31931;862431;89466819;5558994;174090; No; -; -; -; -; -; -; []; [112, 113];No;DeSouza;TRUE NEGATIVE
elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;ESSingleNodeTestCase;newNode; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [171]; [173, 174];No;DeSouza;-
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;NestedInnerQueryParseSupport;setPathLevel; N1_OBJECT_SENSITIVE; No; Yes;434;597;28409;339105;84810;83886; No; -; -; -; -; -; -; [193, 195, 197, 200]; [199];No;DeSouza;TRUE NEGATIVE
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;MultiMatchQueryBuilder;doXContent; N1_OBJECT_SENSITIVE; No; Yes;23439;185960;5175661;399612259;54853537;438080; No; -; -; -; -; -; -; [306, 367]; [];Yes;Mining;FALSE NEGATIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;SynonymsAnalysisTest;testSynonymsAnalysis; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [65, 66, 67, 68, 69, 70, 71, 76]; [73, 75];No;DeSouza;-
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [229]; [226, 228];No;Mining;-
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests;testCommonGramsAnalysis; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [144]; [141, 143];No;Mining;-
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;KuromojiAnalysisTests;createAnalysisService; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [196, 197, 198, 199, 200, 201, 202, 206]; [204, 207];No;Mining;-
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;SimpleIndexQueryParserTests;setup; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [217]; [208];No;DeSouza;-
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactoryTest;setUp; N1_OBJECT_SENSITIVE; No; Yes;11376;94196;813490;19991256;1338891;214972; Yes; Yes; No;208;8;2; [void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp() (line 31) -> void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp() (line 38), void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp() (line 32) -> void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp() (line 38)]; [32, 31]; [38];Yes;Roberto;TRUE POSITIVE
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactory;SlimTableFactory; N1_OBJECT_SENSITIVE; No; Yes;82;102;4099;73032;91161;83886; Yes; Yes; Yes;1368;12;4; [void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 24) -> void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 31), void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 25) -> void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 31), void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 31) -> void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 24), void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 31) -> void fitnesse.testsystems.slim.tables.SlimTableFactory.<init>() (line 25)]; [24, 25]; [31];Yes;Roberto;TRUE POSITIVE
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl;getAllEventTypes; N1_OBJECT_SENSITIVE; No; Yes;4228;19578;567622;36178323;1991138;88322; Yes; Yes; No;225;10;3; [java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 123), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 124), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 125)]; [116]; [123, 124, 125];Yes;Leuson;TRUE POSITIVE
spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;MongoProperties;builder;;;;;;;;;;;;;;;;;;;No;DeSouza;-
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests;getUrl; N1_OBJECT_SENSITIVE; No; Yes;333;469;22598;250184;96273;83886; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive;getUrl; N1_OBJECT_SENSITIVE; No; Yes;470;583;31772;598059;84869;78643; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory;createDeploymentManager; N1_OBJECT_SENSITIVE; No; Yes;1541;2987;178730;15092016;374230;125829; No; -; -; -; -; -; -; [357, 358, 359, 360, 345, 361, 362]; [364];No;DeSouza;TRUE NEGATIVE
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer;createRootApplicationContext; N1_OBJECT_SENSITIVE; No; Yes;6569;26237;881827;45898579;2239917;120913; Yes; No; No;0;0;0; []; [99]; [121, 123];No;DeSouza;TRUE NEGATIVE
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer;createRootApplicationContext; N1_OBJECT_SENSITIVE; No; Yes;6569;26237;881827;45898579;2233360;121033; No; -; -; -; -; -; -; [87]; [88];No;DeSouza;TRUE NEGATIVE
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport; N1_OBJECT_SENSITIVE; No; Yes;3270;7386;288776;23345071;613914;193987; No; -; -; -; -; -; -; [114]; [110];Yes;DeSouza;FALSE NEGATIVE
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;TomcatEmbeddedServletContainerFactory;customizeConnector; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [240, 241, 242, 243, 244, 246, 247, 248, 249]; [228];No;DeSouza;-
quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;OutOfTimeCrossValidatorRunner;getRandomForestBuilder; N1_OBJECT_SENSITIVE; No; Yes;972;1194;54429;521594;239341;115343; No; -; -; -; -; -; -; []; [42, 43];No;Guilherme;TRUE NEGATIVE
